iter	Passed	Remaining
355	11647	23425
356	11679	23391
357	11711	23356
358	11750	23336
359	11781	23301
360	11812	23264
361	11837	23218
362	11862	23168
363	11890	23127
364	11923	23094
365	11954	23059
366	11990	23033
367	12026	23006
368	12061	22979
369	12099	22957
370	12133	22927
371	12174	22909
372	12209	22880
373	12233	22832
374	12258	22784
375	12296	22762
376	12329	22729
377	12364	22701
378	12397	22668
379	12432	22641
380	12460	22599
381	12494	22568
382	12527	22536
383	12555	22494
384	12582	22453
385	12613	22416
386	12641	22374
387	12676	22346
388	12703	22304
389	12725	22253
390	12751	22208
391	12784	22177
392	12814	22139
393	12840	22096
394	12872	22062
395	12897	22016
396	12924	21975
397	12948	21927
398	12974	21884
399	13005	21848
400	13033	21808
401	13061	21769
402	13092	21734
403	13119	21692
404	13145	21648
405	13186	21630
406	13216	21593
407	13240	21548
408	13269	21510
409	13301	21477
410	13334	21445
411	13367	21414
412	13400	21382
413	13428	21342
414	13458	21306
415	13489	21272
416	13516	21230
417	13537	21181
418	13561	21135
419	13585	21090
420	13611	21047
421	13637	21004
422	13666	20968
423	13699	20937
424	13730	20902
425	13757	20862
426	13790	20830
427	13817	20790
428	13845	20751
429	13872	20711
430	13899	20671
431	13923	20627
432	13952	20590
433	13976	20545
434	14005	20508
435	14031	20467
436	14064	20437
437	14090	20396
438	14126	20368
439	14152	20328
440	14182	20292
441	14203	20245
442	14229	20203
443	14253	20160
444	14281	20122
445	14335	20120
446	14358	20076
447	14385	20036
448	14411	19996
449	14434	19951
450	14459	19910
451	14490	19875
452	14520	19842
453	14552	19809
454	14588	19782
455	14617	19746
456	14648	19713
457	14678	19678
458	14711	19646
459	14741	19613
460	14770	19576
461	14805	19548
462	14838	19517
463	14868	19482
464	14892	19440
465	14920	19402
466	14951	19369
467	14972	19322
468	14989	19272
469	15007	19221
470	15026	19173
471	15045	19125
472	15065	19079
473	15085	19031
474	15101	18980
475	15128	18942
476	15150	18897
477	15171	18852
478	15191	18806
479	15216	18766
480	15248	18735
481	15270	18691
482	15293	18650
483	15316	18607
484	15338	18564
485	15360	18521
486	15387	18483
487	15412	18444
488	15432	18399
489	15454	18356
490	15476	18312
491	15495	18267
492	15514	18221
493	15535	18177
494	15557	18134
495	15578	18091
496	15600	18048
497	15625	18009
498	15647	17968
499	15669	17925
500	15692	17884
501	15714	17843
502	15739	17804
503	15760	17762
504	15782	17720
505	15806	17680
506	15828	17638
507	15849	17596
508	15872	17556
509	15894	17514
510	15915	17472
511	15940	17435
512	15964	17395
513	15984	17353
514	16009	17315
515	16030	17273
516	16053	17233
517	16077	17194
518	16097	17151
519	16117	17109
520	16138	17068
521	16162	17029
522	16181	16986
523	16200	16942
524	16219	16899
525	16240	16857
526	16260	16816
527	16280	16774
528	16299	16730
529	16319	16689
530	16338	16646
531	16358	16604
532	16377	16561
533	16396	16519
534	16415	16476
535	16433	16433
536	16461	16400
537	16483	16361
538	16504	16320
539	16522	16277
540	16544	16238
541	16565	16198
542	16583	16156
543	16605	16116
544	16629	16080
545	16650	16040
546	16671	16001
547	16694	15963
548	16719	15927
549	16742	15890
550	16766	15853
551	16788	15815
552	16806	15773
553	16823	15730
554	16845	15692
555	16866	15653
556	16888	15614
557	16905	15572
558	16921	15529
559	16944	15492
560	16965	15452
561	16988	15416
562	17006	15375
563	17027	15337
564	17050	15299
565	17070	15260
566	17090	15221
567	17112	15184
568	17135	15148
569	17157	15110
570	17179	15073
571	17204	15039
572	17228	15003
573	17252	14968
574	17272	14929
575	17296	14894
576	17320	14858
577	17341	14821
578	17362	14783
579	17385	14747
580	17406	14710
581	17428	14673
582	17451	14637
583	17471	14599
584	17493	14562
585	17512	14524
586	17537	14490
587	17561	14455
588	17583	14419
589	17602	14380
590	17626	14345
591	17650	14310
592	17678	14279
593	17703	14246
594	17726	14211
595	17752	14178
596	17777	14144
597	17804	14112
598	17826	14076
599	17849	14041
600	17874	14007
601	17898	13973
602	17917	13936
603	17936	13898
604	17956	13860
605	17975	13822
606	17994	13784
607	18014	13748
608	18036	13712
609	18058	13676
610	18078	13640
611	18104	13607
612	18124	13571
613	18149	13538
614	18173	13504
615	18194	13468
616	18215	13432
617	18237	13398
618	18264	13366
619	18287	13332
620	18312	13299
621	18332	13262
622	18350	13225
623	18369	13188
624	18395	13156
625	18423	13125
626	18443	13090
627	18463	13054
628	18484	13018
629	18502	12981
630	18520	12943
631	18538	12906
632	18555	12868
633	18578	12835
634	18599	12799
635	18622	12766
636	18643	12731
637	18669	12700
638	18690	12665
639	18709	12628
640	18728	12592
641	18748	12557
642	18765	12520
643	18784	12484
644	18802	12447
645	18823	12413
646	18847	12380
647	18869	12346
648	18888	12311
649	18906	12274
650	18922	12237
651	18945	12204
652	18969	12171
653	18997	12142
654	19023	12110
655	19053	12082
656	19075	12049
657	19101	12018
658	19125	11985
659	19145	11951
660	19172	11921
661	19192	11886
662	19213	11852
663	19236	11820
664	19254	11784
665	19271	11748
666	19289	11712
667	19311	11679
668	19332	11645
669	19352	11611
670	19372	11577
671	19390	11542
672	19409	11507
673	19428	11472
674	19447	11437
675	19463	11401
676	19481	11366
677	19502	11333
678	19528	11303
679	19551	11270
680	19572	11237
681	19592	11204
682	19614	11171
683	19633	11137
684	19650	11102
685	19669	11067
686	19690	11034
687	19711	11001
688	19733	10969
689	19757	10938
690	19780	10906
691	19802	10874
692	19823	10841
693	19845	10809
694	19865	10775
695	19884	10742
696	19904	10709
697	19929	10678
698	19953	10647
699	19971	10613
700	19991	10580
701	20013	10548
702	20031	10514
703	20050	10480
704	20069	10447
705	20092	10416
706	20115	10384
707	20142	10355
708	20161	10322
709	20180	10289
710	20197	10254
711	20220	10223
712	20245	10193
713	20267	10162
714	20293	10132
715	20320	10103
716	20341	10071
717	20362	10039
718	20387	10009
719	20411	9979
720	20431	9946
721	20449	9913
722	20470	9881
723	20487	9847
724	20505	9814
725	20527	9783
726	20547	9750
727	20563	9716
728	20581	9683
729	20600	9651
730	20620	9619
731	20641	9587
732	20666	9557
733	20694	9529
734	20718	9499
735	20739	9468
736	20761	9437
737	20781	9405
738	20799	9372
739	20818	9339
740	20844	9310
741	20864	9279
742	20882	9246
743	20902	9214
744	20920	9182
745	20938	9149
746	20961	9119
747	20983	9089
748	21003	9057
749	21024	9026
750	21042	8994
751	21068	8965
752	21091	8935
753	21111	8903
754	21133	8873
755	21154	8842
756	21173	8810
757	21197	8780
758	21217	8749
759	21235	8717
760	21253	8685
761	21275	8655
762	21293	8623
763	21310	8590
764	21325	8558
765	21341	8525
766	21359	8493
767	21382	8463
768	21404	8433
769	21426	8403
770	21455	8376
771	21479	8346
772	21501	8316
773	21524	8287
774	21547	8257
775	21575	8229
776	21600	8200
777	21624	8171
778	21652	8144
779	21681	8116
780	21700	8085
781	21733	8059
782	21757	8030
783	21779	8000
784	21811	7974
785	21844	7948
786	21870	7920
787	21892	7890
788	21916	7860
789	21937	7830
790	21960	7801
791	21982	7771
792	22003	7741
793	22022	7710
794	22040	7679
795	22061	7649
796	22083	7619
797	22105	7589
798	22127	7560
799	22148	7530
800	22166	7499
801	22184	7468
802	22200	7436
803	22215	7405
804	22235	7375
805	22251	7343
806	22268	7312
807	22286	7281
808	22307	7252
809	22330	7222
810	22352	7193
811	22378	7165
812	22400	7136
813	22422	7106
814	22446	7078
815	22467	7048
816	22489	7019
817	22509	6989
818	22530	6959
819	22552	6930
820	22570	6900
821	22586	6869
822	22606	6839
823	22626	6810
824	22649	6781
825	22673	6752
826	22699	6724
827	22722	6696
828	22745	6667
829	22766	6637
830	22789	6609
831	22811	6580
832	22830	6550
833	22848	6520
834	22867	6490
835	22890	6462
836	22908	6432
837	22928	6402
838	22946	6372
839	22978	6346
840	23003	6318
841	23026	6289
842	23048	6261
843	23081	6235
844	23106	6207
845	23124	6177
846	23144	6148
847	23165	6119
848	23184	6089
849	23203	6060
850	23220	6030
851	23239	6000
852	23259	5971
853	23279	5942
854	23302	5914
855	23327	5886
856	23354	5859
857	23374	5830
858	23392	5800
859	23409	5770
860	23427	5741
861	23447	5712
862	23464	5682
863	23482	5653
864	23501	5624
865	23519	5594
866	23538	5565
867	23555	5535
868	23573	5506
869	23590	5477
870	23607	5447
871	23624	5418
872	23643	5389
873	23668	5362
874	23693	5334
875	23718	5306
876	23742	5279
877	23765	5251
878	23789	5223
879	23816	5196
880	23839	5168
881	23861	5140
882	23882	5111
883	23901	5083
884	23921	5054
885	23944	5026
886	23966	4998
887	23987	4970
888	24005	4941
889	24023	4912
890	24045	4884
891	24073	4857
892	24103	4831
893	24125	4803
894	24147	4775
895	24169	4747
896	24191	4719
897	24214	4691
898	24235	4663
899	24254	4635
900	24278	4607
901	24306	4581
902	24329	4553
903	24351	4525
904	24376	4498
905	24396	4470
906	24417	4442
907	24440	4414
908	24463	4386
909	24486	4359
910	24529	4335
911	24557	4308
912	24586	4281
913	24609	4254
914	24629	4226
915	24646	4197
916	24664	4168
917	24683	4140
918	24704	4112
919	24727	4085
920	24754	4058
921	24777	4030
922	24794	4002
923	24812	3974
924	24830	3946
925	24847	3917
926	24864	3889
927	24884	3861
928	24910	3834
929	24936	3807
930	24963	3780
931	24989	3753
932	25012	3726
933	25037	3699
934	25056	3671
935	25082	3644
936	25110	3617
937	25136	3590
938	25162	3564
939	25187	3536
940	25211	3509
941	25233	3482
942	25256	3455
943	25282	3428
944	25308	3401
945	25324	3373
946	25343	3345
947	25370	3318
948	25391	3290
949	25418	3264
950	25447	3237
951	25477	3211
952	25507	3185
953	25529	3157
954	25548	3130
955	25569	3102
956	25589	3074
957	25607	3047
958	25626	3019
959	25649	2992
960	25674	2965
961	25699	2938
962	25717	2910
963	25734	2883
964	25754	2855
965	25776	2828
966	25801	2801
967	25825	2774
968	25843	2747
969	25869	2720
970	25895	2693
971	25920	2666
972	25945	2639
973	25971	2613
974	25996	2586
975	26021	2559
976	26045	2532
977	26071	2505
978	26090	2478
979	26111	2451
980	26132	2424
981	26150	2396
982	26169	2369
983	26187	2341
984	26206	2314
985	26229	2287
986	26253	2260
987	26277	2234
988	26300	2207
989	26319	2180
990	26341	2153
991	26357	2125
992	26375	2098
993	26396	2071
994	26416	2044
995	26440	2017
996	26466	1990
997	26492	1964
998	26515	1937
999	26550	1911
1000	26578	1885
1001	26597	1858
1002	26622	1831
1003	26639	1804
1004	26659	1777
1005	26680	1750
1006	26715	1724
1007	26737	1697
1008	26759	1670
1009	26785	1644
1010	26812	1617
1011	26832	1590
1012	26851	1563
1013	26869	1536
1014	26888	1509
1015	26910	1483
1016	26942	1457
1017	26970	1430
1018	26998	1404
1019	27024	1377
1020	27049	1351
1021	27071	1324
1022	27091	1297
1023	27115	1271
1024	27134	1244
1025	27157	1217
1026	27195	1191
1027	27222	1165
1028	27247	1138
1029	27283	1112
1030	27306	1085
1031	27324	1059
1032	27343	1032
1033	27363	1005
1034	27390	979
1035	27410	952
1036	27436	926
1037	27464	899
1038	27482	872
1039	27507	846
1040	27532	819
1041	27552	793
1042	27574	766
1043	27601	740
1044	27623	713
1045	27642	687
1046	27666	660
1047	27689	634
1048	27714	607
1049	27738	581
1050	27765	554
1051	27796	528
1052	27816	501
1053	27835	475
1054	27853	448
1055	27871	422
1056	27889	395
1057	27917	369
1058	27945	343
1059	27973	316
1060	28001	290
1061	28026	263
1062	28044	237
1063	28067	211
1064	28085	184
1065	28107	158
1066	28128	131
1067	28152	105
1068	28178	79
1069	28202	52
1070	28226	26
1071	28251	0
