iter	MAE
415	0.3431304203
416	0.3430226693
417	0.3429294223
418	0.3427633645
419	0.3423109021
420	0.3420384002
421	0.3419536423
422	0.3419519626
423	0.3418894766
424	0.3418277225
425	0.3418238899
426	0.3418152592
427	0.3417461736
428	0.3416999344
429	0.3416475131
430	0.3415266326
431	0.3414944579
432	0.3414246062
433	0.3413160035
434	0.3412665531
435	0.3412340884
436	0.3400010158
437	0.3398811041
438	0.3397862163
439	0.3397483191
440	0.3396841648
441	0.3396344408
442	0.3396071061
443	0.3395309293
444	0.3395096778
445	0.3392959274
446	0.3392795754
447	0.3392199989
448	0.3391297115
449	0.3391106609
450	0.3391101993
451	0.3390683327
452	0.3390511581
453	0.338914166
454	0.3388574507
455	0.3387725816
456	0.3383780358
457	0.3381256278
458	0.3380603395
459	0.3379858369
460	0.3380430192
461	0.3379679305
462	0.3378656889
463	0.3379288848
464	0.3378744686
465	0.3377220055
466	0.3375684674
467	0.336958395
468	0.3369337206
469	0.3366694398
470	0.3366179108
471	0.3365855867
472	0.3364285082
473	0.3361909293
474	0.3359680562
475	0.3354655533
476	0.3350032934
477	0.3349644823
478	0.3349879744
479	0.3344941723
480	0.3344300256
481	0.3343808675
482	0.3343404338
483	0.3342177576
484	0.3342269348
485	0.334155169
486	0.334037076
487	0.3338555726
488	0.3338358279
489	0.3338388454
490	0.3337572567
491	0.3337353405
492	0.3337051242
493	0.3334432591
494	0.3333756931
495	0.3332827599
496	0.3332385645
497	0.3331832374
498	0.3331491642
499	0.333137827
500	0.332816141
501	0.3326255902
502	0.3325993751
503	0.3325749937
504	0.3320356285
505	0.3320133752
506	0.3319871553
507	0.3311409071
508	0.3310648118
509	0.3310620044
510	0.3309838205
511	0.3305719467
512	0.3304653654
513	0.3304337335
514	0.3304190901
515	0.3299958542
516	0.3299223434
517	0.3298870225
518	0.3293444976
519	0.3293742936
520	0.3293241217
521	0.3292523846
522	0.3288383767
523	0.3288346519
524	0.3282354502
525	0.3282085724
526	0.3280694982
527	0.3280476951
528	0.3280224667
529	0.327957229
530	0.3278896387
531	0.3277579426
532	0.3274545568
533	0.3273827166
534	0.3272583257
535	0.3271836572
536	0.3271457137
537	0.3269637789
538	0.326884439
539	0.3261584709
540	0.3259151858
541	0.3259088159
542	0.3259034084
543	0.3258570867
544	0.3258659343
545	0.3258697428
546	0.3258080514
547	0.3253895435
548	0.3251171019
549	0.3251056893
550	0.3248165807
551	0.3247962565
552	0.3244199185
553	0.3243754112
554	0.3243429165
555	0.3241829222
556	0.3241351289
557	0.3241013174
558	0.3240792092
559	0.3240488083
560	0.3240301437
561	0.3240077655
562	0.324008642
563	0.3239866073
564	0.3240669664
565	0.3240462527
566	0.3235793693
567	0.3235467492
568	0.3235312397
569	0.3234709796
570	0.3234318627
571	0.3234083775
572	0.323361893
573	0.323326388
574	0.3232207752
575	0.3231602466
576	0.3231222432
577	0.323128063
578	0.3231263518
579	0.3230901938
580	0.32302954
581	0.3229721053
582	0.3228536802
583	0.3226001787
584	0.3222353779
585	0.3221217357
586	0.3245163591
587	0.3244698033
588	0.3240918693
589	0.3240670324
590	0.3237646242
591	0.3237436515
592	0.3237075694
593	0.3236972009
594	0.323138579
595	0.3230237005
596	0.3223498759
597	0.3223439869
598	0.3223039584
599	0.322297499
600	0.3221528363
601	0.3221220857
602	0.3220766139
603	0.3220285173
604	0.321399091
605	0.3210356539
606	0.3210193526
607	0.3212828847
608	0.3210529088
609	0.3211155259
610	0.3210244329
611	0.321012021
612	0.3209921757
613	0.3209793517
614	0.3209485241
615	0.3209386486
616	0.320935162
617	0.3202831857
618	0.3202642835
619	0.3202531724
620	0.3201818853
621	0.3201053617
622	0.3200956654
623	0.32007243
624	0.3200607118
625	0.3200252708
626	0.3198048367
627	0.3197046287
628	0.3196076729
629	0.3195789539
630	0.3195672131
631	0.319557484
632	0.3195528798
633	0.3195414462
634	0.3184114488
635	0.3184447516
636	0.3184028898
637	0.3183847711
638	0.3183470579
639	0.3181830358
640	0.3181461566
641	0.3180691172
642	0.3180433511
643	0.3180419929
644	0.3178603763
645	0.3178605567
646	0.3178365717
647	0.3177511499
648	0.3177161641
649	0.3176858528
650	0.3176767015
651	0.3176319388
652	0.317607455
653	0.3170783307
654	0.3170765603
655	0.3170607669
656	0.3170599866
657	0.3170492221
658	0.3169435395
659	0.315604924
660	0.315570229
661	0.3146821632
662	0.3146732152
663	0.3145851264
664	0.3145605792
665	0.3145253394
666	0.3144611394
667	0.3144343657
668	0.3144200977
669	0.3143378952
670	0.3143259614
671	0.3143162018
672	0.3133625483
673	0.3133188612
674	0.3132683002
675	0.3132646237
676	0.3132204931
677	0.3131981638
678	0.313165833
679	0.3131426128
680	0.3131345213
681	0.3130983444
682	0.312791065
683	0.3127760689
684	0.3127280316
685	0.3124593497
686	0.3124550564
687	0.3120647293
688	0.312053954
689	0.312033012
690	0.3119738449
691	0.3119455515
692	0.3119286679
693	0.3117498773
694	0.3117482755
695	0.3117032182
696	0.3116098822
697	0.3115653933
698	0.3115317429
699	0.3114998096
700	0.3114600809
701	0.3114525902
702	0.311355215
703	0.3111143883
704	0.3110716653
705	0.3110633826
706	0.3108791809
707	0.3103072837
708	0.3102807653
709	0.3102672683
710	0.3097022161
711	0.3096183158
712	0.3095925029
713	0.3094432809
714	0.3094009366
715	0.3093800181
716	0.3089566122
717	0.3089165475
718	0.308873135
719	0.308829599
720	0.3087926529
721	0.3087058228
722	0.3085199324
723	0.3078968416
724	0.3078893316
725	0.3078869498
726	0.3078729937
727	0.3077756044
728	0.3072019958
729	0.3070421096
730	0.3069864235
731	0.3069307238
732	0.3067462879
733	0.3067316494
734	0.3067201075
735	0.3066840859
736	0.306674947
737	0.3062260437
738	0.3062174986
739	0.3062125146
740	0.3056732642
741	0.3049022215
742	0.304861271
743	0.3048610588
744	0.3048504436
745	0.3048309064
746	0.3048203087
747	0.3047633435
748	0.3047402509
749	0.3046944226
750	0.3046742536
751	0.3045500338
752	0.3044974218
753	0.3040831455
754	0.3038972308
755	0.3038563029
756	0.3037881261
757	0.3001234697
758	0.3001167404
759	0.300068838
760	0.3000510084
761	0.3000513569
762	0.3000579549
763	0.2993937144
764	0.2993749509
765	0.2988428442
766	0.2984633931
767	0.29822882
768	0.2981935537
769	0.2981298282
770	0.2981078371
771	0.2977442799
772	0.2977251615
773	0.297680955
774	0.2975108053
775	0.297477968
776	0.2974169532
777	0.2973356184
778	0.297297956
779	0.2971779465
780	0.297111319
781	0.2972607234
782	0.2971395954
783	0.2970832364
784	0.2970446861
785	0.2970322479
786	0.2968763865
787	0.2967722542
788	0.2967660775
789	0.2964330421
790	0.2964057911
791	0.2963695721
792	0.2963474057
793	0.2960813668
794	0.2960789749
795	0.2960703008
796	0.2959308841
797	0.2959268522
798	0.2959166758
799	0.2958604376
800	0.2958456922
801	0.2958190925
802	0.2958049628
803	0.2958044412
804	0.2955072631
805	0.2954939564
806	0.2953879757
807	0.2953814088
808	0.2953572049
809	0.2953479064
810	0.2952564216
811	0.2951747844
812	0.2951410516
813	0.2951312098
814	0.2951264393
815	0.2951290749
816	0.2951208585
817	0.295124754
818	0.2951199116
819	0.2950862611
820	0.2950828317
821	0.29506211
822	0.2950841924
823	0.2948557929
824	0.2948034496
825	0.2947780815
826	0.2946017193
827	0.2945824646
828	0.2941963363
829	0.2941526583
830	0.2941365195
831	0.293658925
832	0.2936445666
833	0.2936450474
834	0.2936385783
835	0.2935329543
836	0.2935235737
837	0.2934705432
838	0.293304324
839	0.2932313599
840	0.2931804445
841	0.2930989802
842	0.2930150788
843	0.2927342196
844	0.2927151156
845	0.2927086555
846	0.2924933787
847	0.2918501329
848	0.2918190608
849	0.2916216446
850	0.291580162
851	0.291539564
852	0.2915020672
853	0.2914403602
854	0.2913609311
855	0.2912463976
856	0.2912354853
857	0.2912092726
858	0.2911503284
859	0.2911354484
860	0.2906922204
861	0.2897172927
862	0.2896954255
863	0.2896948631
864	0.2896806536
865	0.2896585033
866	0.289566429
867	0.2895494273
868	0.2894629479
869	0.2894041778
870	0.2893824421
871	0.2890676727
872	0.2890499615
873	0.2888701593
874	0.2887770269
875	0.2887730366
876	0.2887270163
877	0.2886841314
878	0.2886571571
879	0.2886359776
880	0.2884241195
881	0.2884055712
882	0.2884043414
883	0.2883983176
884	0.2883950122
885	0.2883630345
886	0.2883600477
887	0.2881738541
888	0.2881626942
889	0.2881449237
890	0.2881313719
891	0.2881104713
892	0.2880876528
893	0.2879621075
894	0.2879573171
895	0.2871855202
896	0.28709896
897	0.2870696958
898	0.2870569623
899	0.2870305677
900	0.2863534433
901	0.2863385026
902	0.2863108959
903	0.2863232658
904	0.2860467116
905	0.2860173773
906	0.285911155
907	0.2858403842
908	0.2857314585
909	0.2857264738
910	0.2856988994
911	0.2856924177
912	0.2856820805
913	0.285346044
914	0.2853428211
915	0.2853177054
916	0.2852870808
917	0.2852740519
918	0.2852699156
919	0.2852669792
920	0.2851547985
921	0.2850480812
922	0.2850446023
923	0.2850184979
924	0.2850055184
925	0.2850031665
926	0.2849706358
927	0.2849083067
928	0.2849027634
929	0.2848681606
930	0.2848585462
931	0.2848611405
932	0.2848552341
933	0.2848348773
934	0.2848099724
935	0.2846664601
936	0.2843364259
937	0.2843326453
938	0.284310807
939	0.284330458
940	0.2843314599
941	0.2843283486
942	0.2842430261
943	0.2842227483
944	0.284218103
945	0.2842172255
946	0.2842381439
947	0.2842311648
948	0.284190976
949	0.2841833833
950	0.2839794696
951	0.2838131662
952	0.2838076137
953	0.2837540742
954	0.2836593252
955	0.283664086
956	0.2836764366
957	0.2829338771
958	0.2829051084
959	0.282894565
960	0.2828980132
961	0.2829131288
962	0.2828763149
963	0.282882538
964	0.2827941669
965	0.282788204
966	0.2827849165
967	0.2827806749
968	0.2827716187
969	0.282770542
970	0.2826900879
971	0.282689303
972	0.2826710918
973	0.2826349894
974	0.282629639
975	0.2826183979
976	0.2825635802
977	0.2825376623
978	0.2824231313
979	0.2824211154
980	0.282321373
981	0.2822992811
982	0.2822901166
983	0.2820561438
984	0.2820250663
985	0.2820206184
986	0.2820117666
987	0.2819993117
988	0.2819674035
989	0.2819587567
990	0.2819197886
991	0.2819161902
992	0.2818876408
993	0.2818382946
994	0.2816789644
995	0.2816765652
996	0.2816225706
997	0.2815429625
998	0.2813675467
999	0.2813640771
1000	0.2813612078
1001	0.2813442276
1002	0.2812585263
1003	0.2812315458
1004	0.2812230431
1005	0.2812175168
1006	0.2812106812
1007	0.2811832391
1008	0.2810216196
1009	0.2810164809
1010	0.2808858282
1011	0.280786208
1012	0.2807850076
1013	0.2807866827
1014	0.2807127419
1015	0.280647291
1016	0.2806103328
1017	0.2805595906
1018	0.2804757331
1019	0.2804655881
1020	0.2804263891
1021	0.2800078119
1022	0.279972724
1023	0.2799398967
1024	0.2797751967
1025	0.2797170833
1026	0.2797106187
1027	0.2796772531
1028	0.2796709887
1029	0.2795796185
1030	0.2793269093
1031	0.2793016784
1032	0.2792368813
1033	0.2790704061
1034	0.279073818
1035	0.2789393814
1036	0.2789371771
1037	0.2788586393
1038	0.2788358036
1039	0.2786599152
1040	0.2786518089
1041	0.2786397788
1042	0.2785274494
1043	0.2784944302
1044	0.278496438
1045	0.278463641
1046	0.27843616
1047	0.2784276698
1048	0.2784169396
1049	0.2784097212
1050	0.278384556
1051	0.2783838633
1052	0.2783656413
1053	0.278345595
1054	0.2783432941
1055	0.2782879418
1056	0.2782787257
1057	0.2782461027
1058	0.278229276
1059	0.2782274598
1060	0.2782195808
1061	0.2779202191
1062	0.2779152595
1063	0.2779148684
1064	0.2779125064
1065	0.2778889293
1066	0.2778635354
1067	0.2778478382
1068	0.2777233076
1069	0.2776363893
1070	0.2776233702
1071	0.2775929085
